table,count
pmm.TRFCTDEE,71765439
pmm.TRFSBSCD,2
pmm.TRFSBSML,2
pmm.TRFSFQCD,4
pmm.TRFSFQML,4
pmm.TRFSHXEE,13997563
pmm.TRFSOCEE,1
pmm.TRFSOSCD,8
pmm.TRFSOSML,8
pmm.TRFSRCCD,13
pmm.TRFSRCML,10
pmm.TRFSSRCD,6
pmm.TRFSSRML,6
pmm.TRFSTSCD,12
pmm.TRFSTSML,12
pmm.TRFTRREE,218857546
pmm.TRFTYPCD,26
pmm.TRFTYPML,26
pmm.PMGAALEE,49470759
pmm.PMGALLEE,238635575
pmm.PMGALWEE,893188
pmm.PMGDOAEE,3296498
pmm.TRFCTHEE,3296498
pmm.TRFDCPEE,470
pmm.INVPBLEE,566562
pmm.INVREJCD,25
pmm.INVREJEE,0
pmm.RCVSSHEE,610492
pmm.RCVCSOEE,13446
pmm.TRFRFXEE,306967
pmm.TRFRDTEE,1924
pmm.TRFRCNW1,1924
pmm.TRFRCNML,5
pmm.TRFRCNCD,5
pmm.TRFPUTEE,15238
pmm.TRFPRPEE,6
pmm.TRFPROEE,463
pmm.TRFPRHEE,2
pmm.TRFPDPEE,172555
pmm.TRFPDOEE,4737273
pmm.TRFPDHEE,65291
pmm.TRFPDDEE,2870222
pmm.TRFOUTEE,1335548
pmm.TRFMFHEE,606896
pmm.TRFMFCEE,9825591
pmm.TRFHDRWW,0
pmm.TRFHDRAE,20
pmm.TRFGRPCD,44
pmm.TRFEVNEE,2
pmm.TRFDSCCD,285
